SUB,WORD_ORDER,ITEM,ORDER_TOP,SIZE_A_TOP,SIZE_B_TOP,ORDER_CENTER,SIZE_A_CENTER,SIZE_B_CENTER,ORDER_BOTTOM,SIZE_A_BOTTOM,SIZE_B_BOTTOM,CHOICE,CHOICE_SIZE
1513021877,0,23,2,120,120,1,60,120,2,120,60,TOP,EQUAL
1513021877,0,8,2,120,120,1,60,120,2,120,60,BOTTOM,SMALLER
1513021877,0,18,1,120,60,2,60,120,2,120,120,BOTTOM,EQUAL
1513021877,0,33,2,60,120,1,120,60,1,60,120,TOP,LARGER
1513021918,0,32,2,120,60,2,120,120,1,120,60,CENTER,EQUAL
1513021918,0,22,1,120,120,1,60,120,2,120,120,CENTER,SMALLER
1513021918,0,12,1,120,120,2,120,120,2,120,60,BOTTOM,SMALLER
1513021918,0,27,2,120,60,1,120,60,1,120,120,CENTER,LARGER
1513021918,0,7,2,60,120,2,120,60,2,120,120,CENTER,SMALLER
1513021918,0,17,1,60,120,2,120,60,2,60,120,CENTER,SMALLER
1513021918,0,2,2,60,120,2,120,120,1,120,120,CENTER,EQUAL
1513022949,0,2,2,120,60,1,60,120,1,120,120,BOTTOM,EQUAL
1513022949,0,17,2,60,120,1,120,120,2,120,120,CENTER,EQUAL
1513022949,0,32,2,60,120,1,120,120,2,120,60,CENTER,EQUAL
1513022949,0,7,2,120,60,1,120,120,2,120,120,CENTER,EQUAL
1513022949,0,12,1,60,120,2,120,120,1,120,60,BOTTOM,LARGER
1513022949,0,27,1,60,120,2,120,60,1,120,60,BOTTOM,LARGER
1513022949,0,22,1,60,120,1,120,60,2,60,120,CENTER,LARGER
1513023445,0,10,1,120,120,2,120,120,1,120,60,BOTTOM,LARGER
1513023445,0,15,2,120,60,1,60,120,2,60,120,CENTER,SMALLER
1513023445,0,25,2,120,120,1,60,120,1,120,120,TOP,EQUAL
1513023445,0,35,1,120,60,1,120,120,2,120,60,CENTER,EQUAL
1513023445,0,5,1,120,120,2,60,120,2,120,60,CENTER,LARGER
1513023445,0,20,2,120,120,1,60,120,1,120,120,CENTER,SMALLER
1513023445,0,30,2,60,120,2,120,60,2,120,120,CENTER,SMALLER
1513023542,0,6,1,60,120,2,120,60,2,60,120,BOTTOM,LARGER
1513023542,0,31,1,60,120,1,120,60,2,60,120,CENTER,LARGER
1513023542,0,26,2,60,120,1,120,120,1,60,120,TOP,LARGER
1513023542,0,16,1,120,120,2,120,60,1,60,120,CENTER,SMALLER
1513023542,0,11,2,60,120,2,120,120,1,120,60,CENTER,EQUAL
1513023542,0,36,1,60,120,2,60,120,1,120,60,TOP,SMALLER
1513023542,0,21,1,60,120,1,120,120,1,120,60,CENTER,EQUAL
1513023542,0,1,2,60,120,1,60,120,1,120,60,CENTER,SMALLER
1513026709,0,13,1,120,60,2,120,120,1,60,120,TOP,LARGER
1513026709,0,23,1,120,120,2,120,120,1,120,60,TOP,EQUAL
1513026709,0,8,2,60,120,1,60,120,2,120,60,BOTTOM,SMALLER
1513026709,0,33,1,120,120,1,60,120,2,120,60,TOP,EQUAL
1513026709,0,18,1,120,60,1,120,120,2,60,120,CENTER,EQUAL
1513026709,0,3,2,60,120,1,120,60,1,60,120,TOP,LARGER
1513026709,0,28,1,120,60,2,120,120,2,120,60,CENTER,EQUAL
1516198991,0,14,2,60,120,2,120,60,1,120,120,BOTTOM,EQUAL
1516198991,0,19,1,60,120,2,120,60,1,120,120,CENTER,SMALLER
1516198991,0,29,2,120,60,1,60,120,2,60,120,CENTER,SMALLER
1516198991,0,9,2,60,120,1,60,120,2,120,60,CENTER,SMALLER
1516198991,0,4,2,120,60,1,60,120,1,120,120,TOP,SMALLER
1516198991,0,24,1,120,120,1,60,120,1,120,60,TOP,EQUAL
1516198991,0,34,2,120,120,1,120,60,1,60,120,TOP,EQUAL
1516199325,0,5,1,60,120,1,120,60,1,120,120,BOTTOM,EQUAL
1516199325,0,30,2,60,120,1,120,60,2,120,120,BOTTOM,EQUAL
1516199325,0,25,2,120,120,1,120,60,2,120,60,TOP,EQUAL
1516199325,0,35,2,120,60,1,120,60,2,120,120,TOP,SMALLER
1516199325,0,20,2,60,120,1,60,120,2,120,120,CENTER,SMALLER
1516199325,0,15,2,120,120,2,60,120,1,120,120,BOTTOM,EQUAL
1516199325,0,10,2,120,120,1,60,120,1,120,120,TOP,EQUAL
1516199706,0,12,2,120,60,1,60,120,2,60,120,CENTER,SMALLER
1516199706,0,32,1,60,120,2,120,120,1,120,120,BOTTOM,EQUAL
1516199706,0,17,1,120,120,1,120,60,2,60,120,TOP,EQUAL
1516199706,0,2,1,60,120,2,120,120,1,120,60,CENTER,EQUAL
1516199706,0,7,2,120,60,2,60,120,1,120,60,TOP,SMALLER
1516199706,0,22,2,120,120,2,60,120,1,120,60,BOTTOM,LARGER
1516199706,0,27,2,60,120,1,120,60,1,60,120,CENTER,LARGER
1516199854,0,25,1,60,120,2,60,120,2,120,60,CENTER,LARGER
1516199854,0,5,2,120,120,1,120,60,2,60,120,TOP,EQUAL
1516199854,0,20,2,120,60,2,120,120,1,60,120,CENTER,EQUAL
1516199854,0,35,2,120,120,1,60,120,2,60,120,TOP,EQUAL
1516199854,0,15,2,120,60,1,120,120,1,60,120,CENTER,EQUAL
1516199854,0,30,2,120,120,2,60,120,1,120,120,BOTTOM,EQUAL
1516199854,0,10,1,120,120,1,60,120,2,60,120,TOP,EQUAL
1516199862,0,16,1,120,120,1,120,60,2,120,120,CENTER,LARGER
1516199862,0,6,2,120,60,2,60,120,1,120,60,TOP,SMALLER
1516199862,0,31,1,60,120,2,120,60,2,120,120,BOTTOM,EQUAL
1516199862,0,11,1,60,120,2,60,120,2,120,120,CENTER,LARGER
1516199862,0,21,2,120,60,1,120,120,1,120,60,CENTER,EQUAL
1516199862,0,1,2,120,120,2,120,60,1,60,120,CENTER,SMALLER
1516199862,0,26,1,60,120,2,120,60,2,120,120,TOP,SMALLER
1516199862,0,36,1,120,120,2,120,60,2,60,120,TOP,EQUAL
1516200748,0,8,1,60,120,1,120,60,2,120,120,BOTTOM,EQUAL
1516200748,0,33,1,60,120,2,120,120,1,120,60,CENTER,EQUAL
1516200748,0,18,1,120,120,1,120,60,1,60,120,CENTER,LARGER
1516200748,0,3,1,60,120,2,60,120,1,120,60,BOTTOM,LARGER
1516200748,0,28,1,60,120,2,60,120,1,120,120,BOTTOM,EQUAL
1516200748,0,13,1,120,60,2,60,120,1,60,120,TOP,LARGER
1516200748,0,23,2,120,120,1,120,120,1,120,60,TOP,EQUAL
1516202508,0,33,2,120,120,1,60,120,1,120,60,TOP,EQUAL
1516202508,0,23,2,120,120,1,120,60,2,60,120,TOP,EQUAL
1516202508,0,18,1,120,120,2,120,120,1,120,60,TOP,EQUAL
1516202508,0,8,1,60,120,2,60,120,1,120,60,BOTTOM,LARGER
1516202508,0,13,2,120,60,1,60,120,1,120,120,BOTTOM,EQUAL
1516202508,0,28,1,60,120,2,120,120,1,120,60,CENTER,EQUAL
1516202508,0,3,1,60,120,1,120,60,2,120,120,BOTTOM,EQUAL
1516202518,0,12,1,60,120,2,120,60,1,120,120,BOTTOM,EQUAL
1516202518,0,7,1,60,120,1,120,120,2,120,60,CENTER,EQUAL
1516202518,0,22,2,60,120,1,120,120,1,60,120,CENTER,EQUAL
1516202518,0,27,1,120,120,1,60,120,2,60,120,TOP,EQUAL
1516202518,0,32,2,60,120,2,120,120,2,120,60,CENTER,EQUAL
1516202518,0,17,1,120,60,1,120,120,2,60,120,CENTER,EQUAL
1516202518,0,2,1,60,120,2,60,120,2,120,60,BOTTOM,SMALLER
1516205493,0,21,1,120,120,1,120,60,2,120,120,TOP,EQUAL
1516205493,0,11,1,60,120,1,120,60,2,120,120,BOTTOM,EQUAL
1516205493,0,31,1,120,120,1,120,60,1,60,120,TOP,EQUAL
1516205493,0,1,2,120,60,1,120,120,2,120,120,CENTER,EQUAL
1516205493,0,16,2,120,120,1,120,60,2,60,120,TOP,EQUAL
1516205493,0,36,1,120,120,2,120,60,2,120,120,TOP,EQUAL
1516205493,0,6,2,120,120,1,120,120,2,60,120,TOP,EQUAL
1516205493,0,26,2,120,120,1,120,60,2,120,60,TOP,EQUAL
1516206746,0,25,1,120,60,2,120,120,2,120,60,BOTTOM,SMALLER
1516206746,0,5,2,120,120,2,60,120,2,120,60,BOTTOM,SMALLER
1516206746,0,35,1,60,120,1,120,60,2,120,60,BOTTOM,SMALLER
1516206746,0,10,2,60,120,1,120,60,2,120,60,BOTTOM,SMALLER
1516206746,0,30,2,120,60,1,120,60,2,60,120,TOP,SMALLER
1516206746,0,20,1,120,60,1,60,120,1,120,120,TOP,LARGER
1516206746,0,15,1,60,120,2,60,120,1,120,120,TOP,SMALLER
1516206875,0,19,2,120,60,1,120,60,1,60,120,TOP,SMALLER
1516206875,0,4,1,120,120,2,120,60,2,120,120,CENTER,SMALLER
1516206875,0,14,1,120,120,1,60,120,2,120,60,BOTTOM,SMALLER
1516206875,0,24,2,120,120,2,120,60,1,60,120,BOTTOM,SMALLER
1516206875,0,9,1,120,120,1,120,60,2,120,60,CENTER,LARGER
1516206875,0,34,1,120,120,2,120,120,1,60,120,TOP,EQUAL
1516206875,0,29,2,120,120,2,120,60,2,60,120,TOP,EQUAL
1516206968,0,8,2,60,120,1,60,120,1,120,60,BOTTOM,LARGER
1516206968,0,33,1,120,60,1,60,120,1,120,120,BOTTOM,EQUAL
1516206968,0,13,1,120,60,1,120,120,2,60,120,CENTER,EQUAL
1516206968,0,28,1,60,120,2,60,120,1,120,60,TOP,SMALLER
1516206968,0,3,2,120,120,1,120,120,1,120,60,CENTER,EQUAL
1516206968,0,23,2,120,60,2,120,120,1,60,120,CENTER,EQUAL
1516206968,0,18,1,120,60,2,120,120,1,120,120,CENTER,EQUAL
1516208275,0,2,2,60,120,2,120,60,1,120,120,CENTER,SMALLER
1516208275,0,22,2,60,120,1,60,120,2,120,60,BOTTOM,SMALLER
1516208275,0,7,2,120,60,2,120,120,1,120,60,CENTER,EQUAL
1516208275,0,17,1,60,120,2,120,60,1,120,60,CENTER,SMALLER
1516208275,0,12,1,60,120,1,120,120,2,120,120,CENTER,EQUAL
1516208275,0,27,1,60,120,2,120,60,1,120,120,BOTTOM,EQUAL
1516208275,0,32,2,60,120,1,60,120,1,120,120,BOTTOM,EQUAL
1516208571,0,16,1,60,120,1,120,120,1,120,60,CENTER,EQUAL
1516208571,0,11,2,60,120,1,120,60,1,120,120,BOTTOM,EQUAL
1516208571,0,21,2,60,120,1,60,120,2,120,120,BOTTOM,EQUAL
1516208571,0,1,1,60,120,1,120,60,2,60,120,BOTTOM,LARGER
1516208571,0,6,2,120,60,2,120,120,1,120,120,BOTTOM,EQUAL
1516208571,0,26,2,120,60,2,60,120,2,120,120,BOTTOM,EQUAL
1516208571,0,36,1,60,120,2,60,120,2,120,60,CENTER,LARGER
1516208571,0,31,1,60,120,2,120,120,2,120,60,CENTER,EQUAL
1516209574,0,14,2,60,120,1,60,120,1,120,60,BOTTOM,LARGER
1516209574,0,4,1,120,60,2,60,120,1,60,120,TOP,LARGER
1516209574,0,19,2,60,120,1,120,120,2,120,120,BOTTOM,EQUAL
1516209574,0,9,2,120,120,2,60,120,2,120,60,TOP,EQUAL
1516209574,0,24,1,60,120,2,60,120,1,120,120,TOP,SMALLER
1516209574,0,29,1,120,60,1,60,120,2,60,120,CENTER,SMALLER
1516209574,0,34,1,60,120,1,120,60,2,120,120,CENTER,LARGER
1516209686,0,27,2,120,60,1,120,120,1,60,120,CENTER,EQUAL
1516209686,0,2,1,60,120,2,120,60,2,60,120,CENTER,SMALLER
1516209686,0,7,1,120,60,2,120,120,1,60,120,CENTER,EQUAL
1516209686,0,22,2,120,120,2,60,120,1,60,120,TOP,EQUAL
