SUB,WORD_ORDER,ITEM,ORDER_TOP,SIZE_A_TOP,SIZE_B_TOP,ORDER_CENTER,SIZE_A_CENTER,SIZE_B_CENTER,ORDER_BOTTOM,SIZE_A_BOTTOM,SIZE_B_BOTTOM,CHOICE
1513009715,1,35,1,120,120,1,60,120,2,120,60,TOP
1513009715,1,15,1,120,120,2,120,120,2,60,120,CENTER
1513009715,0,7,2,120,60,2,60,120,1,120,120,BOTTOM
1513009715,2,34,2,120,120,1,60,120,2,120,60,TOP
1513009715,1,13,2,120,120,2,60,120,2,120,60,TOP
1513009715,2,4,1,60,120,2,120,120,1,120,120,CENTER
1513009715,1,5,1,120,120,2,120,60,2,60,120,TOP
1513009715,2,9,2,60,120,1,120,120,1,60,120,TOP
1513009715,1,33,2,120,60,1,120,60,1,120,120,BOTTOM
1513009715,2,36,1,60,120,2,120,120,1,120,60,CENTER
1513009715,1,23,2,120,60,1,120,120,1,60,120,CENTER
1513009715,0,22,1,120,60,2,120,120,1,60,120,CENTER
1513009715,2,24,2,120,60,1,120,120,1,60,120,TOP
1513009715,1,10,1,60,120,1,120,120,2,60,120,CENTER
1513009715,0,27,1,120,120,1,120,60,2,60,120,TOP
1513009715,1,25,1,120,120,1,120,60,1,60,120,TOP
1513009715,1,3,2,120,120,1,60,120,1,120,60,BOTTOM
1513009715,1,20,1,120,120,2,120,60,1,60,120,TOP
1513009715,2,16,2,60,120,2,120,120,1,60,120,CENTER
1513009715,2,19,1,120,60,1,120,120,2,60,120,BOTTOM
1513009715,2,14,2,120,60,1,120,120,1,120,60,CENTER
1513009715,2,1,1,60,120,1,120,120,1,120,60,CENTER
1513009715,0,32,1,60,120,1,120,60,2,120,60,CENTER
1513009715,2,26,1,120,60,2,120,60,1,120,120,CENTER
1513009715,2,6,2,120,120,2,120,60,1,60,120,TOP
1513009715,1,28,2,120,120,2,60,120,1,120,60,BOTTOM
1513009715,2,31,1,120,60,2,120,120,1,120,120,CENTER
1513009715,1,30,2,60,120,2,120,120,2,120,60,CENTER
1513009715,0,17,2,120,60,2,60,120,2,120,120,BOTTOM
1513009715,2,29,2,120,120,1,120,60,2,60,120,TOP
1513009715,0,12,2,60,120,1,120,120,2,120,120,CENTER
1513009715,2,21,1,120,60,2,120,120,2,60,120,CENTER
1513009715,1,18,2,60,120,1,120,120,2,120,120,CENTER
1513009715,1,8,2,120,60,1,120,60,2,60,120,CENTER
1513010203,2,24,2,60,120,1,60,120,1,120,120,TOP
1513010203,1,33,1,120,60,2,120,120,2,120,60,TOP
1513010203,2,9,1,60,120,1,120,120,1,120,60,CENTER
1513010203,0,25,2,120,60,1,60,120,2,120,120,TOP
1513010203,1,21,1,120,120,2,120,60,2,60,120,TOP
1513010203,1,23,1,60,120,2,120,120,1,120,60,TOP
1513010203,0,10,2,120,60,1,120,120,1,120,60,CENTER
1513010203,1,36,2,60,120,1,120,120,1,60,120,CENTER
1513010203,2,2,1,60,120,2,120,60,1,120,60,CENTER
1513010203,1,8,2,120,60,1,120,120,2,120,120,CENTER
1513010203,0,15,1,60,120,2,120,120,2,60,120,CENTER
1513010203,2,12,1,60,120,1,120,120,1,120,60,CENTER
1513010203,2,19,2,60,120,1,60,120,2,120,60,TOP
1513010203,1,3,1,120,60,1,60,120,2,120,60,TOP
1513010203,2,27,2,60,120,1,60,120,2,120,120,TOP
1513010203,1,1,2,60,120,2,120,60,1,120,120,TOP
1513010203,2,29,1,120,120,2,60,120,2,120,120,CENTER
1513010203,2,32,2,120,120,1,60,120,1,120,60,TOP
1513010203,1,13,1,60,120,2,60,120,1,120,60,BOTTOM
1513010203,0,30,2,120,120,1,60,120,2,60,120,TOP
1513010203,0,5,2,120,60,2,60,120,1,120,120,TOP
1513010203,0,35,2,120,60,1,120,120,2,60,120,CENTER
1513010203,2,22,1,120,120,1,120,60,2,60,120,CENTER
1513010203,2,34,1,120,120,1,120,60,2,60,120,BOTTOM
1513010203,2,14,2,120,120,1,120,120,1,60,120,CENTER
1513010203,2,17,1,120,120,1,60,120,2,120,120,BOTTOM
1513010203,0,20,2,120,120,2,60,120,1,120,120,CENTER
1513010203,1,16,2,120,120,1,60,120,1,120,120,BOTTOM
1513010203,1,11,2,60,120,1,120,120,2,120,60,CENTER
1513010203,2,4,1,120,60,1,60,120,1,120,120,BOTTOM
1513010203,1,31,2,120,120,2,60,120,1,60,120,BOTTOM
1513010203,1,18,1,60,120,1,120,120,2,60,120,BOTTOM
1513010203,1,26,2,120,120,1,120,120,2,120,60,TOP
1513010203,2,7,2,120,120,2,120,60,2,60,120,TOP
1513010203,1,28,1,120,120,1,120,60,2,60,120,CENTER
1513010203,1,6,2,60,120,2,120,120,1,60,120,TOP
1513010709,1,27,1,120,60,2,120,120,2,120,60,CENTER
1513010709,2,3,2,120,60,2,60,120,1,60,120,CENTER
1513010709,0,24,2,120,60,1,120,60,1,120,120,BOTTOM
1513010709,2,28,1,120,60,1,60,120,2,120,120,BOTTOM
1513010709,1,12,2,120,60,2,120,120,1,120,120,BOTTOM
1513010709,2,11,2,60,120,2,120,120,1,120,120,CENTER
1513010709,1,2,1,120,120,2,120,60,2,60,120,TOP
1513010709,1,30,2,120,60,1,120,120,2,60,120,CENTER
1513010709,2,36,1,120,120,1,60,120,2,120,60,BOTTOM
1513010709,2,31,1,120,120,2,120,60,2,60,120,BOTTOM
1513010709,1,15,2,60,120,1,120,60,1,120,120,BOTTOM
1513010709,2,8,2,60,120,2,120,120,1,120,60,CENTER
1513010709,2,23,1,120,60,2,60,120,1,120,120,CENTER
1513010709,0,34,1,120,60,2,60,120,2,120,60,BOTTOM
1513010709,2,26,1,120,120,2,60,120,1,60,120,CENTER
1513010709,2,21,1,120,120,1,120,60,1,60,120,TOP
1513010709,2,18,1,60,120,2,120,120,2,60,120,CENTER
1513010709,1,20,1,60,120,1,120,120,2,120,120,CENTER
1513010709,1,5,2,120,60,2,60,120,1,120,120,BOTTOM
1513010709,1,10,1,60,120,1,120,60,2,120,120,TOP
1513010709,2,6,2,120,120,2,60,120,2,120,60,TOP
